,x,y
0,-40.63129457149312,-58.27174346139072
1,-34.06197289904396,-52.715082106650996
2,-27.763038872584488,-46.863124572895494
3,-24.34753791005929,-43.46023372306973
4,-21.961339002858537,-42.521796908657016
5,-16.261434099735226,-44.72040799089054
6,-5.238523217858427,-48.586590615920926
7,-5.378736947444782,-48.31220259834923
8,3.1970413239454762,-40.14882267720978
9,11.16288069290647,-37.13344639400348
10,11.223843477653219,-37.230898328534714
11,16.13552252064563,-32.559554369945495
12,19.48759805438473,-29.040030619349817
13,21.327657849523874,-27.99812768684058
14,29.204805678846984,-28.292875577205706
15,32.30241396539826,-25.445812146724656
16,35.63320140511874,-17.6272282118806
17,36.986675620399154,-15.911957944664689
18,40.67986533958961,-14.7379993599415
19,44.35870969127123,-13.992659678753395
20,47.356703336794226,-12.118500184885107
21,47.279508511568466,-12.46650497102596
22,49.55909658064546,-6.7941576934199395
23,51.11279146985444,-2.360965130190969
24,54.303131981447315,2.8324270544522947
25,58.24749974419081,10.279240540288013
26,57.96249425284301,10.209697787220065
27,52.05600010009421,17.92982487862605
28,46.41408692014914,30.916902917709965
29,40.68993292731467,36.35287893948151
30,40.765338528046165,36.4424105242756
31,33.63961340909114,38.80078110095005
32,27.191244798519055,44.20014979953019
33,21.265864848241485,51.70102478296624
34,15.770596180485501,56.502981489777305
35,15.87120261428402,56.5894967788955
36,10.062178890956613,58.21808610307804
37,10.15885935840751,58.335082639324604
38,2.457186417688869,56.56491345673434
39,-6.372301966951484,53.439870756684385
40,-11.920494294032254,49.53661902796086
41,-15.100027361545198,47.05729257430048
42,-21.06519657675798,40.83654116130525
43,-24.24183671877639,37.20764617005502
44,-33.42032072042199,31.242208627437634
45,-41.75536723315766,28.326690209372543
46,-47.95205084314479,24.29891991039284
47,-50.7622934659482,22.28311957040536
48,-58.02210248684306,19.067977128412295
49,-55.7063409239547,10.047048691153257
50,-54.33686249027223,-0.33022588830882527
51,-53.407163733704536,-5.605836820371031
52,-51.575300725075515,-11.428027067828369
53,-48.43038256607114,-19.75659425788595
54,-46.23449205127296,-29.246520991539224
55,-43.381853477525254,-38.941588409006016
56,-41.271606526688714,-49.1531799934708
57,-38.82483669153239,-58.01895540278451
